#Organism/Name,Kingdom,Group,SubGroup,Plasmid Name,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"Acinetobacter johnsonii XBB1",Bacteria,"Proteobacteria","Gammaproteobacteria",pXBB1-9,NZ_CP010351.1,CP010351,398.857,39.9915,391,-,-,-,423,32,2016/01/06,2016/01/09
"Acinetobacter johnsonii XBB1",Bacteria,"Proteobacteria","Gammaproteobacteria",pXBB1-1,NZ_CP010352.1,CP010352,3.978,35.0679,4,-,-,-,4,-,2016/01/06,2016/01/09
"Acinetobacter johnsonii XBB1",Bacteria,"Proteobacteria","Gammaproteobacteria",pXBB1-2,NZ_CP010353.1,CP010353,4.724,36.8755,7,-,-,-,7,-,2016/01/06,2016/01/09
"Acinetobacter johnsonii XBB1",Bacteria,"Proteobacteria","Gammaproteobacteria",pXBB1-3,NZ_CP010354.1,CP010354,11.643,33.7628,11,-,-,-,13,2,2016/01/06,2016/01/09
"Acinetobacter johnsonii XBB1",Bacteria,"Proteobacteria","Gammaproteobacteria",pXBB1-4,NZ_CP010355.1,CP010355,7.579,38.8838,8,-,-,-,9,1,2016/01/06,2016/01/09
"Acinetobacter johnsonii XBB1",Bacteria,"Proteobacteria","Gammaproteobacteria",pXBB1-5,NZ_CP010356.1,CP010356,13.94,36.9082,17,-,-,-,18,1,2016/01/06,2016/01/09
"Acinetobacter johnsonii XBB1",Bacteria,"Proteobacteria","Gammaproteobacteria",pXBB1-6,NZ_CP010357.1,CP010357,13.33,36.3841,13,-,-,-,14,1,2016/01/06,2016/01/09
"Acinetobacter johnsonii XBB1",Bacteria,"Proteobacteria","Gammaproteobacteria",pXBB1-8,NZ_CP010358.1,CP010358,117.483,37.0496,86,-,-,-,104,18,2016/01/06,2016/01/09
"Acinetobacter junii",Bacteria,"Proteobacteria","Gammaproteobacteria",pNDM-WS1,NC_024999.1,KJ018154,13.94,46.4132,13,-,-,-,13,-,2014/09/26,2015/09/08
"Acinetobacter lwoffii",Bacteria,"Proteobacteria","Gammaproteobacteria",pNDM-BJ01,NC_019268.1,JQ001791,47.274,40.8279,46,-,-,-,46,-,2012/11/04,2014/12/17
"Acinetobacter lwoffii",Bacteria,"Proteobacteria","Gammaproteobacteria",pNDM-BJ02,NC_019281.1,JQ060896,46.165,40.9293,44,-,-,-,44,-,2012/11/04,2014/12/17
"Acinetobacter lwoffii",Bacteria,"Proteobacteria","Gammaproteobacteria",pABZ78,NC_019323.1,JQ739158,4.797,65.666,5,-,-,-,6,-,2012/11/04,2014/12/18
"Acinetobacter lwoffii",Bacteria,"Proteobacteria","Gammaproteobacteria",pNDM-Iz4b,NC_025000.1,KJ547696,46.57,40.9105,55,-,-,-,55,-,2014/09/25,2014/12/18
"Acinetobacter nosocomialis",Bacteria,"Proteobacteria","Gammaproteobacteria",p6411-89.111kb,NZ_CP010369.1,CP010369,89.111,37.3601,75,-,-,-,84,9,2015/01/21,2015/08/04
"Acinetobacter nosocomialis",Bacteria,"Proteobacteria","Gammaproteobacteria",p6411-9.012kb,NZ_CP010370.2,CP010370,47.274,40.8279,56,-,-,-,56,-,2015/01/21,2015/08/04
"Acinetobacter nosocomialis",Bacteria,"Proteobacteria","Gammaproteobacteria",p6411-66.409kb,NZ_CP010903.1,CP010903,66.409,36.3565,67,-,-,-,69,2,2015/08/04,2015/08/04
"Acinetobacter nosocomialis",Bacteria,"Proteobacteria","Gammaproteobacteria",pRAY*-v3,NC_023280.1,KC417494,6.078,39.1741,5,-,-,-,5,-,2014/01/06,2015/09/08
"Acinetobacter nosocomialis",Bacteria,"Proteobacteria","Gammaproteobacteria",pAB49-v1,NC_023281.1,KC417495,2.2,39.6818,2,-,-,-,2,-,2014/01/06,2015/09/08
"Acinetobacter pittii",Bacteria,"Proteobacteria","Gammaproteobacteria",pNDM-AP_882,NZ_CP014478.1,CP014478,146.597,38.5854,134,-,-,-,143,9,2016/03/02,2016/03/02
"Acinetobacter pittii",Bacteria,"Proteobacteria","Gammaproteobacteria",pOXA58-AP_882,NZ_CP014479.1,CP014479,36.862,36.3464,42,-,-,-,43,1,2016/03/02,2016/03/02
"Acinetobacter pittii",Bacteria,"Proteobacteria","Gammaproteobacteria",pIEC338SCOX,NZ_CP015146.1,CP015146,10.498,34.8828,12,-,-,-,12,-,2016/04/10,2016/04/10
"Acinetobacter pittii",Bacteria,"Proteobacteria","Gammaproteobacteria",pIEC338SC2,NZ_CP015147.1,CP015147,5.562,38.2776,5,-,-,-,5,-,2016/04/10,2016/04/10
"Acinetobacter pittii",Bacteria,"Proteobacteria","Gammaproteobacteria",pIEC338SC3,NZ_CP015148.1,CP015148,5.813,31.894,6,-,-,-,6,-,2016/04/10,2016/04/10
"Acinetobacter pittii",Bacteria,"Proteobacteria","Gammaproteobacteria",pABCA95,NC_019322.2,JQ739157,6.544,47.6467,3,-,-,-,6,-,2012/11/04,2015/11/24
"Acinetobacter pittii",Bacteria,"Proteobacteria","Gammaproteobacteria",pMS32-3,NC_025137.1,KJ616406,11.465,36.3454,13,-,-,-,13,-,2014/09/29,2014/12/18
"Acinetobacter pittii",Bacteria,"Proteobacteria","Gammaproteobacteria",pMS32-1,NC_025173.1,KJ616405,94.418,37.4844,108,-,-,-,108,-,2014/09/29,2014/12/18
"Acinetobacter pittii D499",Bacteria,"Proteobacteria","Gammaproteobacteria",pAB_D499,NZ_AGFH01000030.1,AGFH01000030,47.101,40.7507,55,-,-,-,55,-,2013/05/02,2015/08/21
"Acinetobacter radioresistens WC-A-157",Bacteria,"Proteobacteria","Gammaproteobacteria",pWCA157-7.5,NZ_ALIR01000018.1,ALIR01000018,7.532,30.7754,8,-,-,-,8,-,2012/11/18,2015/08/19
"Acinetobacter radioresistens WC-A-157",Bacteria,"Proteobacteria","Gammaproteobacteria",pWCA157-71,NZ_ALIR01000019.1,ALIR01000019,70.57,37.5202,73,-,-,-,80,7,2012/11/18,2015/08/19
"Acinetobacter radioresistens WC-A-157",Bacteria,"Proteobacteria","Gammaproteobacteria",pWCA157-6.5,NZ_ALIR01000020.1,ALIR01000020,6.534,36.3636,8,-,-,-,8,-,2012/11/18,2015/08/19
"Acinetobacter radioresistens WC-A-157",Bacteria,"Proteobacteria","Gammaproteobacteria",pWCA157-53,NZ_ALIR01000021.1,ALIR01000021,53.388,36.3958,53,-,-,-,55,2,2012/11/18,2015/08/19
"Acinetobacter schindleri",Bacteria,"Proteobacteria","Gammaproteobacteria",p1AsACE,NZ_CP015616.1,CP015616,179.461,39.9101,152,-,-,-,181,29,2017/02/03,2017/02/03
"Acinetobacter schindleri",Bacteria,"Proteobacteria","Gammaproteobacteria",p2AsACE,NZ_CP015617.1,CP015617,45.079,40.2959,50,-,-,-,53,3,2017/02/03,2017/02/03
"Acinetobacter schindleri",Bacteria,"Proteobacteria","Gammaproteobacteria",p3AsACE,NZ_CP015618.1,CP015618,14.058,37.0679,15,-,-,-,15,-,2017/02/03,2017/02/03
"Acinetobacter schindleri",Bacteria,"Proteobacteria","Gammaproteobacteria",p4AsACE,NZ_CP015619.1,CP015619,10.218,32.8734,14,-,-,-,17,3,2017/02/03,2017/02/03
"Acinetobacter schindleri",Bacteria,"Proteobacteria","Gammaproteobacteria",p5AsACE,NZ_CP015620.1,CP015620,10.085,36.3907,12,-,-,-,13,1,2017/02/03,2017/02/03
"Acinetobacter schindleri",Bacteria,"Proteobacteria","Gammaproteobacteria",p6AsACE,NZ_CP015621.1,CP015621,7.943,37.2403,11,-,-,-,11,-,2017/02/03,2017/02/03
"Acinetobacter soli",Bacteria,"Proteobacteria","Gammaproteobacteria",pGFJ1,NZ_CP016897.1,CP016897,86.373,38.967,69,-,-,-,82,13,2017/01/19,2017/01/19
"Acinetobacter soli",Bacteria,"Proteobacteria","Gammaproteobacteria",pGFJ2,NZ_CP016898.1,CP016898,78.649,37.0176,87,-,-,-,89,2,2017/01/19,2017/01/19
"Acinetobacter soli",Bacteria,"Proteobacteria","Gammaproteobacteria",pGFJ3,NZ_CP016899.1,CP016899,10.453,37.0324,12,-,-,-,12,-,2017/01/19,2017/01/19
"Acinetobacter soli",Bacteria,"Proteobacteria","Gammaproteobacteria",pGFJ4,NZ_CP016900.1,CP016900,9.416,38.6682,13,-,-,-,13,-,2017/01/19,2017/01/19
"Acinetobacter soli",Bacteria,"Proteobacteria","Gammaproteobacteria",pGFJ5,NZ_CP016901.1,CP016901,5.086,39.3826,4,-,-,-,4,-,2017/01/19,2017/01/19
"Acinetobacter soli",Bacteria,"Proteobacteria","Gammaproteobacteria",pGFJ6,NZ_CP016902.1,CP016902,4.066,38.1456,4,-,-,-,4,-,2017/01/19,2017/01/19
"Acinetobacter soli",Bacteria,"Proteobacteria","Gammaproteobacteria",pGFJ7,NZ_CP016903.1,CP016903,4.008,37.3004,4,-,-,-,4,-,2017/01/19,2017/01/19
"Acinetobacter sp. DUT-2",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed1,-,CP014652,141.965,40.2134,135,-,-,-,149,14,2016/03/08,2016/03/08
"Acinetobacter sp. DUT-2",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed2,-,CP014653,50.047,36.9013,35,-,-,-,44,9,2016/03/08,2016/03/08
"Acinetobacter sp. DUT-2",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed3,-,CP014654,19.82,36.8668,21,-,-,-,31,10,2016/03/08,2016/03/08
"Acinetobacter sp. DUT-2",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed4,-,CP014655,11.158,35.1138,13,-,-,-,13,-,2016/03/08,2016/03/08
"Acinetobacter sp. DUT-2",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed5,-,CP014656,5.511,57.6302,5,-,-,-,6,1,2016/03/08,2016/03/08
"Acinetobacter sp. EB104",Bacteria,"Proteobacteria","Gammaproteobacteria",pAC450,NC_002760.1,AJ311718,4.379,49.7374,4,-,-,-,4,-,2001/05/01,2014/12/17
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131_NDM1,NC_025116.1,JX072963,47.271,40.7798,50,-,-,-,50,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-11,NC_025117.1,JX101638,1.735,37.2334,2,-,-,-,2,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-9,NC_025118.1,JX101640,2.371,38.2539,3,-,-,-,3,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-8,NC_025119.1,JX101641,5.414,35.9254,7,-,-,-,7,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-6,NC_025120.1,JX101643,7.61,38.1603,10,-,-,-,10,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-4,NC_025121.1,JX101645,9.353,37.4639,14,-,-,-,14,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-3,NC_025122.1,JX101646,9.541,34.6714,14,-,-,-,14,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-10,NC_025169.1,JX101639,1.958,37.0276,1,-,-,-,1,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-7,NC_025170.1,JX101642,6.977,37.251,9,-,-,-,9,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-5,NC_025171.1,JX101644,7.641,36.7622,10,-,-,-,10,-,2014/09/29,2014/12/18
"Acinetobacter sp. M131",Bacteria,"Proteobacteria","Gammaproteobacteria",pM131-2,NC_025172.1,JX101647,84.995,42.6602,91,-,-,-,91,-,2014/09/29,2014/12/18
"Acinetobacter sp. NCu2D-2",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NZ_CP015595.1,CP015595,309.964,38.7084,265,-,-,-,277,12,2016/08/18,2016/08/18
"Acinetobacter sp. SUN",Bacteria,"Proteobacteria","Gammaproteobacteria",pRAY,NC_000923.1,AF003958,6.076,39.2528,10,-,-,-,10,-,1997/09/16,2015/09/23
"Acinetobacter sp. TGL-Y2",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed1,NZ_CP015111.1,CP015111,298.877,34.1344,333,-,-,-,334,1,2016/08/18,2016/08/18
"Acinetobacter sp. TGL-Y2",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed2,NZ_CP015112.1,CP015112,8.682,34.2663,12,-,-,-,13,1,2016/08/18,2016/08/18
"Acinetobacter venetianus",Bacteria,"Proteobacteria","Gammaproteobacteria",pAV1,NC_010309.1,DQ278485,10.82,34.5564,11,-,-,-,11,-,2008/02/06,2014/12/18
"Acinetobacter venetianus",Bacteria,"Proteobacteria","Gammaproteobacteria",pAV2,NC_010310.1,DQ278486,15.135,36.4123,16,-,-,-,16,-,2008/02/06,2014/12/18
"Acinetobacter venetianus VE-C3",Bacteria,"Proteobacteria","Gammaproteobacteria",pAV3,NZ_ALIG01000010.1,ALIG01000010,186.446,39.5573,173,-,-,-,191,18,2013/05/01,2015/08/14
"Actinoalloteichus sp. GBA129-24",Bacteria,"Terrabacteria group","Actinobacteria",pGBA129-24a,NZ_CP016078.1,CP016078,59.408,69.2112,91,-,-,-,91,-,2017/01/12,2017/01/12
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",pTYM1,NC_003125.1,AF303375,4.242,47.9491,2,-,-,-,4,2,2001/10/02,2014/12/18
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",pMS260,NC_005312.1,AB109805,8.124,60.4751,10,-,-,-,10,-,2004/01/13,2014/12/18
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",pKMA2425,NC_007098.1,AJ830714,3.156,46.5146,5,-,-,-,5,-,2005/05/31,2014/12/17
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",pPSAS1522,NC_007099.1,AJ877041,4.244,48.2092,6,-,-,-,7,1,2005/05/31,2014/12/18
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",pARD3079,NC_009625.1,AM748707,4.065,45.5105,7,-,-,-,7,-,2007/06/29,2014/12/18
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",p9956,NC_010042.1,AY362554,5.674,41.3994,5,-,-,-,5,-,2007/12/03,2014/12/18
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",p9555,NC_010069.1,AY359464,5.673,39.3619,9,-,-,-,9,-,2007/12/03,2014/12/18
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",pHB0503,NC_010795.1,EU715370,15.079,41.6075,16,-,-,-,16,-,2008/06/03,2014/12/18
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",p12494,NC_010889.1,DQ517426,14.393,32.9327,10,-,-,-,10,-,2008/06/17,2014/12/18
"Actinobacillus pleuropneumoniae",Bacteria,"Proteobacteria","Gammaproteobacteria",p11745,NC_013546.1,DQ176855,5.486,38.097,4,-,-,-,4,-,2009/12/03,2014/12/17
"Actinobacillus pleuropneumoniae serovar 7 str. AP76",Bacteria,"Proteobacteria","Gammaproteobacteria",APP7_C,NC_010940.1,CP001092,3.533,41.7209,3,-,-,-,4,1,2008/06/11,2015/08/17
"Actinobacillus pleuropneumoniae serovar 7 str. AP76",Bacteria,"Proteobacteria","Gammaproteobacteria",ABB7_B,NC_010941.1,CP001093,4.236,48.0878,4,-,-,-,4,-,2008/06/11,2015/08/17
"Actinobacillus pleuropneumoniae serovar 7 str. AP76",Bacteria,"Proteobacteria","Gammaproteobacteria",APP7_A,NC_010942.1,CP001094,5.685,41.5128,5,-,-,-,6,1,2008/06/11,2015/08/17
"Actinobacillus porcitonsillarum",Bacteria,"Proteobacteria","Gammaproteobacteria",pKMA505,NC_007094.1,AJ830710,8.632,38.0908,12,-,-,-,14,2,2005/05/31,2014/12/18
"Actinobacillus porcitonsillarum",Bacteria,"Proteobacteria","Gammaproteobacteria",pIMD50,NC_007095.1,AJ830711,8.751,40.9782,10,-,-,-,12,2,2005/05/31,2014/12/18
"Actinobacillus porcitonsillarum",Bacteria,"Proteobacteria","Gammaproteobacteria",pKMA1467,NC_007096.1,AJ830712,11.115,38.7584,12,-,-,-,13,1,2005/05/31,2014/12/18
"Actinobacillus porcitonsillarum",Bacteria,"Proteobacteria","Gammaproteobacteria",pKMA757,NC_007097.1,AJ830713,4.556,48.6392,6,-,-,-,7,1,2005/05/31,2014/12/18
"Actinobacillus porcitonsillarum",Bacteria,"Proteobacteria","Gammaproteobacteria",pKMA5,NC_009623.1,AM748705,9.549,39.491,10,-,-,-,12,2,2007/06/29,2014/12/18
"Actinobacillus porcitonsillarum",Bacteria,"Proteobacteria","Gammaproteobacteria",pKMA202,NC_009624.1,AM748706,13.425,39.27,14,-,-,-,18,4,2007/06/29,2014/12/18
"Advenella kashmirensis WT001",Bacteria,"Proteobacteria","Betaproteobacteria",pWTk445,NC_017965.1,CP003556,57.884,46.7141,57,-,-,-,60,3,2012/06/04,2015/08/13
"Advenella mimigardefordensis DPN7",Bacteria,"Proteobacteria","Betaproteobacteria",24p,NZ_CP003916.1,CP003916,23.61,45.7094,23,-,-,-,25,2,2015/02/08,2015/08/18
"Aeromonas bestiarum",Bacteria,"Proteobacteria","Gammaproteobacteria",pAb5S9,NC_009476.1,EF495198,24.716,54.0055,16,-,-,-,16,-,2007/05/23,2014/12/17
"Aeromonas caviae",Bacteria,"Proteobacteria","Gammaproteobacteria",pIncQ2,-,CM004560,13.916,57.9764,13,-,-,-,14,1,2016/08/12,2016/08/12
"Aeromonas caviae",Bacteria,"Proteobacteria","Gammaproteobacteria",pKP3_A,-,CM004561,7.703,48.7862,7,-,-,-,8,1,2016/08/12,2016/08/12
"Aeromonas caviae",Bacteria,"Proteobacteria","Gammaproteobacteria",pFBAOT6,NC_006143.1,-,84.749,57.2856,92,-,-,-,95,3,2004/08/19,2014/12/17
"Aeromonas dhakensis AAK1",Bacteria,"Proteobacteria","Gammaproteobacteria",pAAk1,NC_019014.1,AP012343,4.161,54.5542,7,-,-,-,7,-,2012/10/26,2015/08/10
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAH06-06-1,NZ_CP010948.1,CP010948,2.838,58.2805,3,-,-,-,3,-,2015/03/09,2015/08/19
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAH06-06-2,NZ_CP010949.1,CP010949,5.958,56.9822,8,-,-,-,8,-,2015/03/09,2015/08/19
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAH06-06-3,NZ_CP010950.1,CP010950,7.77,50.0129,8,-,-,-,8,-,2015/03/09,2015/08/19
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",1,NZ_CP013179.1,CP013179,6.318,56.252,8,-,-,-,8,-,2016/01/27,2016/01/27
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",2,NZ_CP013180.1,CP013180,6.162,54.2681,7,-,-,-,7,-,2016/01/27,2016/01/27
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",3,NZ_CP013181.1,CP013181,6.045,51.4971,7,-,-,-,7,-,2016/01/27,2016/01/27
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAhD4-1,NZ_CP013966.1,CP013966,156.086,50.1224,148,-,-,-,149,1,2016/01/21,2016/01/21
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAhD4-2,NZ_CP013967.1,CP013967,6.318,56.252,8,-,-,-,8,-,2016/01/21,2016/01/21
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAhD4-3,NZ_CP013968.1,CP013968,6.163,54.2755,6,-,-,-,7,1,2016/01/21,2016/01/21
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAhD4-4,NZ_CP013969.1,CP013969,6.045,51.4971,7,-,-,-,7,-,2016/01/21,2016/01/21
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pASP-135,NZ_CP016381.1,CP016381,143.348,56.5093,154,-,-,-,155,1,2016/07/20,2016/07/20
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAH9791,NZ_CM004591.1,CM004591,6.741,53.5974,11,-,-,-,11,-,2016/08/25,2016/08/25
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAH9804,NZ_CM004592.1,CM004592,2.867,55.3889,4,-,-,-,4,-,2016/08/25,2016/08/25
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pRA3,NC_010919.1,DQ401103,45.909,53.5472,50,-,-,-,50,-,2008/06/17,2014/12/16
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pBRST7.6,NC_011207.1,EU925817,7.621,59.7297,6,-,-,-,6,-,2008/09/08,2014/12/16
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pRA1,NC_012885.1,FJ705807,143.963,50.5797,158,-,-,-,158,-,2009/06/30,2014/12/17
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAH3680,NC_013780.1,DQ402049,3.68,55.8152,2,-,-,-,2,-,2010/02/05,2014/12/17
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAQ2-2,NC_016849.1,JN315885,6.903,51.7022,4,-,-,-,4,-,2012/02/23,2014/12/17
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAHH01,NC_016852.1,JN315882,8.979,53.8367,14,-,-,-,14,-,2012/02/23,2014/12/17
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAHH04,NC_019262.1,JN315883,7.191,59.8804,5,-,-,-,5,-,2012/11/04,2014/12/17
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pR148,NC_019380.1,JX141473,165.906,52.5093,146,-,-,-,146,-,2012/11/04,2014/12/17
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pAhy2.5,NC_021159.1,KC525245,2.524,56.5769,2,-,-,-,2,-,2013/05/01,2014/12/18
"Aeromonas hydrophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NZ_CM007660.1,CM007660,119.875,51.9666,157,-,-,-,159,2,2017/02/08,2017/02/08
"Aeromonas media WS",Bacteria,"Proteobacteria","Gammaproteobacteria",pWSY,NZ_CP007568.1,CP007568,11.276,55.9596,13,-,-,-,13,-,2015/02/04,2015/07/31
"Aeromonas salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pRAS3.1,NC_003123.1,AY043298,11.851,58.9149,7,-,-,-,7,-,2001/10/01,2014/12/17
"Aeromonas salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pRAS3.2,NC_003124.1,AY043299,11.823,59.0121,7,-,-,-,7,-,2001/10/01,2014/12/17
"Aeromonas salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsal1,NC_004338.1,AJ508382,6.371,55.0306,4,-,-,-,4,-,2002/10/09,2014/12/17
"Aeromonas salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsal2,NC_004339.1,AJ508383,5.424,57.0243,7,-,-,-,7,-,2002/10/09,2014/12/17
"Aeromonas salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsal3,NC_004340.1,AJ508384,5.249,52.1433,6,-,-,2,8,-,2002/10/09,2014/12/17
"Aeromonas salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsa6,NC_009352.2,AM258965,18.536,53.852,16,-,-,-,17,1,2007/04/17,2014/12/17
"Aeromonas salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsal1B,NC_025018.1,KC686700,8.989,55.6347,5,-,-,-,7,-,2014/09/26,2014/12/18
"Aeromonas salmonicida subsp. salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsa1,NZ_CM004287.1,CM004287,5.722,57.3226,10,-,-,-,10,-,2016/05/12,2016/05/12
"Aeromonas salmonicida subsp. salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsa2,NZ_CM004288.1,CM004288,5.545,52.642,6,-,-,-,6,-,2016/05/12,2016/05/12
"Aeromonas salmonicida subsp. salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsa3,NZ_CM004289.1,CM004289,5.914,54.9543,8,-,-,-,8,-,2016/05/12,2016/05/12
"Aeromonas salmonicida subsp. salmonicida",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsa7,NZ_KU499859.1,KU499859,5.276,53.3927,6,-,-,-,6,-,2016/05/12,2016/05/12
"Aeromonas salmonicida subsp. salmonicida A449",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsa1,NC_004923.1,AY301063,5.424,57.0243,9,-,-,1,10,-,2003/07/07,2015/08/13
"Aeromonas salmonicida subsp. salmonicida A449",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsa3,NC_004924.1,AY301065,5.616,54.5228,8,-,-,1,9,-,2003/07/07,2015/08/13
"Aeromonas salmonicida subsp. salmonicida A449",Bacteria,"Proteobacteria","Gammaproteobacteria",pAsa2,NC_004925.1,AY301064,5.247,52.2013,6,-,-,2,8,-,2003/07/07,2015/08/13
"Aeromonas salmonicida subsp. salmonicida A449",Bacteria,"Proteobacteria","Gammaproteobacteria",4,NC_009349.1,CP000645,166.749,52.7979,164,-,-,-,175,11,2007/04/17,2015/08/13
"Aeromonas salmonicida subsp. salmonicida A449",Bacteria,"Proteobacteria","Gammaproteobacteria",5,NC_009350.1,CP000646,155.098,54.3315,157,-,-,-,168,11,2007/04/17,2015/08/13
"Aeromonas sobria",Bacteria,"Proteobacteria","Gammaproteobacteria",pAQ2-1,NC_016611.1,JN315884,6.9,51.6087,4,-,-,-,4,-,2012/02/16,2014/12/17
"Aeromonas veronii",Bacteria,"Proteobacteria","Gammaproteobacteria",pASP-a58,NZ_CP014775.1,CP014775,198.307,53.0718,222,-,-,-,227,5,2016/05/28,2016/05/28
"Aggregatibacter actinomycetemcomitans",Bacteria,"Proteobacteria","Gammaproteobacteria",pVT745,NC_002579.1,AF302424,25.407,39.0247,36,-,-,-,36,-,2000/10/19,2014/12/17
"Aggregatibacter actinomycetemcomitans",Bacteria,"Proteobacteria","Gammaproteobacteria",pS23A,NC_021724.1,JX436327,24.102,38.0093,40,-,-,-,40,-,2013/07/12,2014/12/18
"Aggregatibacter actinomycetemcomitans D11S-1",Bacteria,"Proteobacteria","Gammaproteobacteria",S25,-,GQ866234,31.045,33.2904,43,-,-,-,43,-,2009/10/21,2016/07/24
"Aggregatibacter actinomycetemcomitans D11S-1",Bacteria,"Proteobacteria","Gammaproteobacteria",S57,-,GQ866235,23.886,38.353,42,-,-,-,42,-,2009/10/21,2016/07/24
"Agrobacterium fabrum str. C58",Bacteria,"Proteobacteria","Alphaproteobacteria",At,NC_003064.2,AE007872,542.868,57.3316,542,-,-,-,557,15,2001/08/14,2016/08/03
