#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Size (Mb),GC%,Assembly,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Chironomus riparius","",SAMN03284762 ,PRJNA268391,"Animals","Insects",154.534,31.4,GCA_001014505.1 ,-,JXPV01,29677,-,-,2015/05/28,2015/05/28,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/014/505/GCA_001014505.1_ASM101450v1
"Kluyveromyces wickerhamii UCD 54-210","UCD 54-210",SAMN02981270 ,PRJNA50387,"Fungi","Ascomycetes",9.80774,40.9,GCA_000179415.1 ,-,AEAV01,510,-,-,2010/07/14,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/415/GCA_000179415.1_ASM17941v1
"Erysiphe pisi","",SAMEA2272766 ,PRJEA50315,"Fungi","Ascomycetes",69.261,39.2,GCA_000208805.1 ,-,CACM01,35300,-,-,2011/02/15,2011/10/19,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/805/GCA_000208805.1_ASM20880v1
"Cicer arietinum","",SAMN02981489 ,PRJNA190909,"Plants","Land Plants",530.894,32.6705,GCA_000331145.1 ,chromosome Ca1:NC_021160.1/CM001764.1; chromosome Ca2:NC_021161.1/CM001765.1; chromosome Ca3:NC_021162.1/CM001766.1; chromosome Ca4:NC_021163.1/CM001767.1; chromosome Ca5:NC_021164.1/CM001768.1; chromosome Ca6:NC_021165.1/CM001769.1; chromosome Ca7:NC_021166.1/CM001770.1; chromosome Ca8:NC_021167.1/CM001771.1; chloroplast Pltd:NC_011163.1/EU835853.1,ANPC01,7545,27758,33107,2012/12/31,2014/08/11,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/145/GCF_000331145.1_ASM33114v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/145/GCA_000331145.1_ASM33114v1
"Pyrenophora teres f. teres 0-1","0-1",SAMN00016826 ,PRJNA50389,"Fungi","Ascomycetes",33.5833,50.9,GCA_000166005.1 ,-,AEEY01,6412,11799,11799,2010/11/03,2014/08/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/005/GCF_000166005.1_PyrTer_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/005/GCA_000166005.1_PyrTer_1.0
"Claviceps paspali RRC 1481","RRC 1481",SAMN02981342 ,PRJNA51623,"Fungi","Ascomycetes",28.9743,47.5,GCA_000223175.2 ,-,AFRC01,2304,-,-,2011/08/10,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/175/GCA_000223175.2_ClPasp_1.0
"Thecamonas trahens ATCC 50062","ATCC 50062",SAMN02953775 ,PRJNA37929,"Protists","Other Protists",28.6806,63.6,GCA_000142905.1 ,-,ADVD01,131,10656,10626,2010/06/03,2015/07/28,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/905/GCF_000142905.1_TheTra_May2010,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/142/905/GCA_000142905.1_TheTra_May2010
"Sphaerulina musiva SO2202","SO2202",SAMN00120232 ,PRJNA51781,"Fungi","Ascomycetes",29.3521,51.1,GCA_000320565.2 ,-,AEFD01,72,10240,10156,2012/10/02,2014/08/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/565/GCF_000320565.1_Septoria_musiva_SO2202_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/565/GCA_000320565.2_Septoria_musiva_SO2202_v1.0
"Nematocida parisii ERTm1","ERTm1",SAMN02981274 ,PRJNA51843,"Fungi","Other Fungi",4.07135,34.6,GCA_000250985.1 ,-,AEFF02,65,2722,2661,2010/10/12,2014/08/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/985/GCF_000250985.1_Nema_parisii_ERTm1_V3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/250/985/GCA_000250985.1_Nema_parisii_ERTm1_V3
"Sarcophilus harrisii","",SAMN02953780 ,PRJNA51853,"Animals","Mammals",3174.69,37,GCA_000189315.1 ,-,AEFK01,35974,21994,24821,2011/02/09,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/315/GCF_000189315.1_Devil_ref_v7.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/315/GCA_000189315.1_Devil_ref_v7.0
"Wickerhamomyces anomalus NRRL Y-366-8","NRRL Y-366-8",SAMN00138384 ,PRJNA60493,"Fungi","Ascomycetes",14.1456,35,GCA_001661255.1 ,-,LWUN01,46,6575,6421,2016/06/10,2016/09/09,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/255/GCF_001661255.1_Wican1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/255/GCA_001661255.1_Wican1
"Punctularia strigosozonata HHB-11173 SS5","HHB-11173 SS5",SAMN00632096 ,PRJNA52407,"Fungi","Basidiomycetes",34.1719,54.9,GCA_000264995.1 ,-,AEGM01,195,11647,11540,2012/06/04,2014/08/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/995/GCF_000264995.1_Punctularia_strigosozonata_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/264/995/GCA_000264995.1_Punctularia_strigosozonata_v1.0
"Caenorhabditis angaria","PS1010",SAMN02953783 ,PRJNA51225,"Animals","Roundworms",79.7615,36.4,GCA_000165025.1 ,-,AEHI01,33559,-,-,2010/10/18,2014/08/06,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/025/GCA_000165025.1_ps1010rel4
"Ophiognomonia clavigignenti-juglandacearum","",SAMN00110598 ,PRJNA52061,"Fungi","Ascomycetes",15.9064,48.8,GCA_000220195.1 ,-,AEGN01,28868,-,-,2011/07/07,2014/08/04,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/195/GCA_000220195.1_ASM22019v1
"Stereum hirsutum FP-91666 SS1","FP-91666 SS1",SAMN02981277 ,PRJNA52843,"Fungi","Basidiomycetes",46.5116,51.3,GCA_000264905.1 ,-,AEGX01,159,14453,14066,2012/05/31,2014/08/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/905/GCF_000264905.1_Stehi1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/264/905/GCA_000264905.1_Stehi1
"Fomitopsis pinicola FP-58527 SS1","FP-58527 SS1",SAMN02981279 ,PRJNA52941,"Fungi","Basidiomycetes",41.6144,55.4,GCA_000344655.2 ,-,AEHC02,504,13993,13852,2013/03/04,2014/08/11,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/655/GCA_000344655.2_Fompi3
"Wolfiporia cocos MD-104 SS10","MD-104",SAMN02981280 ,PRJNA52943,"Fungi","Basidiomycetes",50.4836,52,GCA_000344635.1 ,-,AEHD01,348,-,-,2013/03/06,2014/08/11,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/635/GCA_000344635.1_Wolco1
"Spathaspora passalidarum NRRL Y-27907","NRRL Y-27907",SAMN00714472 ,PRJNA53891,"Fungi","Ascomycetes",13.1821,37.5,GCA_000223485.1 ,-,AEIK01,8,5983,5983,2011/08/16,2014/08/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/485/GCF_000223485.1_Spathaspora_passalidarum_v2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/485/GCA_000223485.1_Spathaspora_passalidarum_v2.0
"Marchantia polymorpha subsp. polymorpha","",SAMN04450698 ,PRJNA310693,"Plants","Land Plants",205.718,36.1,GCA_001641455.1 ,-,LVLJ01,4137,17956,17956,2016/05/10,2016/05/11,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/641/455/GCA_001641455.1_Mp_v4
"Mixia osmundae IAM 14324","IAM 14324",SAMN02863149 ,PRJNA205560,"Fungi","Basidiomycetes",13.6345,55.5,GCA_000708205.1 ,-,AYOQ01,156,6858,6858,2014/06/16,2014/06/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/205/GCF_000708205.1_Mixia_osmundae_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/205/GCA_000708205.1_Mixia_osmundae_v1.0
"Bipolaris sorokiniana ND90Pr","ND90Pr",SAMN02981285 ,PRJNA53923,"Fungi","Ascomycetes",34.4092,49.8,GCA_000338995.1 ,-,AEIN01,154,12308,12214,2013/02/08,2014/08/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/995/GCF_000338995.1_Cocsa1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/995/GCA_000338995.1_Cocsa1
"Gossypium raimondii","",SAMN02743920 ,PRJNA282644,"Plants","Land Plants",761.565,33.5284,GCA_000327365.1 ,chromosome 1:NC_026929.1/CM001740.1; chromosome 2:NC_026930.1/CM001741.1; chromosome 3:NC_026931.1/CM001742.1; chromosome 4:NC_026932.1/CM001743.1; chromosome 5:NC_026933.1/CM001744.1; chromosome 6:NC_026934.1/CM001745.1; chromosome 7:NC_026935.1/CM001746.1; chromosome 8:NC_026936.1/CM001747.1; chromosome 9:NC_026937.1/CM001748.1; chromosome 10:NC_026938.1/CM001749.1; chromosome 11:NC_026939.1/CM001750.1; chromosome 12:NC_026940.1/CM001751.1; chromosome 13:NC_026941.1/CM001752.1; chloroplast:NC_016668.1/HQ325744.1,ALYE01,1034,44678,59057,2012/12/20,2015/03/02,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/365/GCF_000327365.1_Graimondii2_0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/365/GCA_000327365.1_Graimondii2_0
"Coniophora puteana RWD-64-598 SS2","RWD-64-598 SS2",SAMN02981286 ,PRJNA53977,"Fungi","Basidiomycetes",42.9685,52.3,GCA_000271625.1 ,-,AEIT01,210,13896,13758,2012/06/21,2014/08/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/625/GCF_000271625.1_Conpu1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/625/GCA_000271625.1_Conpu1
"Trametes versicolor FP-101664 SS1","FP-101664 SS1",SAMN02981287 ,PRJNA56097,"Fungi","Basidiomycetes",44.794,57.3,GCA_000271585.1 ,-,AEJI01,283,14572,14302,2012/06/21,2014/08/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/585/GCF_000271585.1_Trametes_versicolor_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/585/GCA_000271585.1_Trametes_versicolor_v1.0
"Fomitiporia mediterranea MF3/22","MF3/22",SAMN02981288 ,PRJNA56107,"Fungi","Basidiomycetes",63.3544,41.7,GCA_000271605.1 ,-,AEJJ01,1412,11419,11338,2012/06/21,2014/08/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/605/GCF_000271605.1_Fomme1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/605/GCA_000271605.1_Fomme1
"Latimeria chalumnae","",SAMN00138723 ,PRJNA56111,"Animals","Fishes",2860.59,43,GCA_000225785.1 ,mitochondrion MT:NC_001804.1/U82228.1,AFYH01,22819,26117,34251,2011/09/09,2013/11/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/785/GCF_000225785.1_LatCha1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/785/GCA_000225785.1_LatCha1
"Dictyostelium purpureum","QSDP1",SAMN02744064 ,PRJNA30991,"Protists","Other Protists",32.9672,24.5,GCA_000190715.1 ,-,ADID01,799,12403,12399,2011/03/01,2014/08/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/715/GCA_000190715.1_v1.0
"Gregarina niphandrodes","",SAMN01120375 ,PRJNA59799,"Protists","Apicomplexans",14.0091,53.5,GCA_000223845.4 ,-,AFNH02,469,6491,6375,2011/06/27,2014/04/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/845/GCF_000223845.1_GNI3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/845/GCA_000223845.4_GNI3
"Mustela putorius furo","",SAMN00149631 ,PRJNA59869,"Animals","Mammals",2410.88,41.9,GCA_000215625.1 ,mitochondrion MT:NC_020638.1/HM106318.1,AEYP01,7783,27321,48107,2011/06/01,2014/08/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/625/GCF_000215625.1_MusPutFur1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/625/GCA_000215625.1_MusPutFur1.0
"Haplochromis burtoni","",SAMN00139641 ,PRJNA60363,"Animals","Fishes",831.412,41.9,GCA_000239415.1 ,-,AFNZ01,8001,26625,44653,2011/12/20,2015/04/28,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/415/GCF_000239415.1_AstBur1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/415/GCA_000239415.1_AstBur1.0
"Neolamprologus brichardi","",SAMN00139653 ,PRJNA60365,"Animals","Fishes",847.91,42.0001,GCA_000239395.1 ,mitochondrion MT:NC_009062.1/AP006014.1,AFNY01,9099,25031,31372,2011/12/20,2015/04/28,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/395/GCF_000239395.1_NeoBri1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/395/GCA_000239395.1_NeoBri1.0
"Pundamilia nyererei","",SAMN00149614 ,PRJNA60367,"Animals","Fishes",830.133,41.9,GCA_000239375.1 ,-,AFNX01,7236,24446,38583,2011/12/20,2015/04/28,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/375/GCF_000239375.1_PunNye1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/375/GCA_000239375.1_PunNye1.0
"Gelatoporia subvermispora B","B",SAMN02981297 ,PRJNA60419,"Fungi","Basidiomycetes",38.9697,53.6,GCA_000320605.2 ,-,AEOV01,740,12314,12123,2012/04/18,2014/08/11,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/605/GCA_000320605.2_Ceriporiopsis_subvermispora_B_v1.0
"Fragaria vesca subsp. vesca","",SAMN00120060 ,PRJNA60037,"Plants","Land Plants",214.373,38.9793,GCA_000184155.1 ,linkage group LG1:NC_020491.1/CM001053.1; linkage group LG2:NC_020492.1/CM001054.1; linkage group LG3:NC_020493.1/CM001055.1; linkage group LG4:NC_020494.1/CM001056.1; linkage group LG5:NC_020495.1/CM001057.1; linkage group LG6:NC_020496.1/CM001058.1; linkage group LG7:NC_020497.1/CM001059.1; chloroplast Pltd:NC_015206.1/JF345175.1,AEMH01,3048,27771,31387,2010/12/22,2014/05/27,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/155/GCF_000184155.1_FraVesHawaii_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/155/GCA_000184155.1_FraVesHawaii_1.0
"Bombus impatiens","",SAMN02953787 ,PRJNA61101,"Animals","Insects",249.185,37.9,GCA_000188095.2 ,-,AEQM02,5559,11740,20895,2011/01/31,2015/04/27,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/095/GCF_000188095.1_BIMP_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/095/GCA_000188095.2_BIMP_2.0
"Bos indicus","",SAMN02953802 ,PRJNA360096,"Animals","Mammals",2673.97,42.3689,GCA_000247795.2 ,chromosome 1:NC_032650.1/CM003021.1; chromosome 2:NC_032651.1/CM003022.1; chromosome 3:NC_032652.1/CM003023.1; chromosome 4:NC_032653.1/CM003024.1; chromosome 5:NC_032654.1/CM003025.1; chromosome 6:NC_032655.1/CM003026.1; chromosome 7:NC_032656.1/CM003027.1; chromosome 8:NC_032657.1/CM003028.1; chromosome 9:NC_032658.1/CM003029.1; chromosome 10:NC_032659.1/CM003030.1; chromosome 11:NC_032660.1/CM003031.1; chromosome 12:NC_032661.1/CM003032.1; chromosome 13:NC_032662.1/CM003033.1; chromosome 14:NC_032663.1/CM003034.1; chromosome 15:NC_032664.1/CM003035.1; chromosome 16:NC_032665.1/CM003036.1; chromosome 17:NC_032666.1/CM003037.1; chromosome 18:NC_032667.1/CM003038.1; chromosome 19:NC_032668.1/CM003039.1; chromosome 20:NC_032669.1/CM003040.1; chromosome 21:NC_032670.1/CM003041.1; chromosome 22:NC_032671.1/CM003042.1; chromosome 23:NC_032672.1/CM003043.1; chromosome 24:NC_032673.1/CM003044.1; chromosome 25:NC_032674.1/CM003045.1; chromosome 26:NC_032675.1/CM003046.1; chromosome 27:NC_032676.1/CM003047.1; chromosome 28:NC_032677.1/CM003048.1; chromosome 29:NC_032678.1/CM003049.1; chromosome X:NC_032679.1/CM003050.1; chromosome Y:NC_032680.1/CM003051.1; mitochondrion MT:NC_005971.1/AY126697.1,AGFL01,32,26205,35992,2012/02/16,2014/11/25,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/795/GCF_000247795.1_Bos_indicus_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/795/GCA_000247795.2_Bos_indicus_1.0
"Piloderma croceum F 1598","F 1598",SAMN00738176 ,PRJNA61203,"Fungi","Basidiomycetes",59.3269,46.6,GCA_000827315.1 ,-,JMDN01,715,21607,21524,2015/01/21,2016/04/15,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/315/GCA_000827315.1_Piloderma_croceum_F_1598_v1.0
"Thalassiosira oceanica","CCMP1005",SAMN02981384 ,PRJNA36595,"Other","Other",92.1856,53.2648,GCA_000296195.2 ,chloroplast Pltd:NC_014808.1/GU323224.1,AGNL01,50892,34684,34642,2012/07/25,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/195/GCA_000296195.2_ThaOc_1.0
"Galendromus occidentalis","",SAMN00849407 ,PRJNA62309,"Animals","Other Animals",151.724,51.5955,GCA_000255335.1 ,mitochondrion MT:NC_009093.1/EF221760.1,AFFJ01,2211,12310,12003,2012/03/01,2014/08/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/335/GCF_000255335.1_Mocc_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/335/GCA_000255335.1_Mocc_1.0
"Drosophila bipectinata","",SAMN00714473 ,PRJNA62313,"Animals","Insects",167.264,41.6,GCA_000236285.2 ,-,AFFE02,5500,15789,23478,2011/10/27,2013/11/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/285/GCF_000236285.1_Dbip_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/285/GCA_000236285.2_Dbip_2.0
"Drosophila elegans","",SAMN00715014 ,PRJNA62315,"Animals","Insects",171.268,40.3,GCA_000224195.2 ,-,AFFF02,5429,16164,24259,2011/07/14,2013/11/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/195/GCF_000224195.1_Dele_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/195/GCA_000224195.2_Dele_2.0
"Drosophila ficusphila","",SAMN00715126 ,PRJNA62317,"Animals","Insects",152.439,42,GCA_000220665.2 ,-,AFFG02,5754,15924,23894,2011/07/14,2013/11/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/665/GCF_000220665.1_Dfic_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/665/GCA_000220665.2_Dfic_2.0
"Drosophila kikkawai","",SAMN00715127 ,PRJNA62319,"Animals","Insects",164.293,41.4,GCA_000224215.2 ,-,AFFH02,5141,15840,22347,2011/07/14,2013/11/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/215/GCF_000224215.1_Dkik_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/215/GCA_000224215.2_Dkik_2.0
"Drosophila takahashii","",SAMN00715130 ,PRJNA62321,"Animals","Insects",182.107,40,GCA_000224235.2 ,-,AFFI02,5733,16175,23999,2011/07/14,2013/11/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/235/GCF_000224235.1_Dtak_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/235/GCA_000224235.2_Dtak_2.0
"Lytechinus variegatus","",SAMN00205415 ,PRJNA62399,"Animals","Other Animals",1061.2,36.9,GCA_000239495.2 ,-,AGCV02,322794,-,-,2011/12/21,2015/03/11,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/495/GCA_000239495.2_Lvar_2.2
"Strongyloides ratti","ED321 Heterogonic",SAMEA1682816 ,PRJEB125,"Animals","Roundworms",43.1502,21.5777,GCA_001040885.1 ,chromosome 1:LN609528.1; chromosome 2:LN609529.1; chromosome X:LN609530.1,-,135,12451,12450,2014/09/18,2015/11/19,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/040/885/GCA_001040885.1_S_ratti_ED321
"Drosophila biarmipes","",SAMN00714466 ,PRJNA62307,"Animals","Insects",169.379,41.8,GCA_000233415.2 ,-,AFFD02,5523,14943,22690,2011/10/27,2013/11/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/415/GCF_000233415.1_Dbia_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/415/GCA_000233415.2_Dbia_2.0
"Vavraia culicis subsp. floridensis","floridensis",SAMN02981300 ,PRJNA62117,"Fungi","Other Fungi",6.11869,39.9,GCA_000192795.1 ,-,AEUG01,379,2823,2773,2011/03/17,2014/08/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/795/GCF_000192795.1_Vavr_culi_floridensis_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/795/GCA_000192795.1_Vavr_culi_floridensis_V1
"Leishmania donovani","BPK282A1",SAMEA2271930 ,PRJEA61817,"Protists","Kinetoplasts",32.445,59.0623,GCA_000227135.2 ,chromosome 1:NC_018228.1/FR799588.2; chromosome 2:NC_018229.1/FR799589.2; chromosome 3:NC_018230.1/FR799590.1; chromosome 4:NC_018231.1/FR799591.2; chromosome 5:NC_018232.1/FR799592.1; chromosome 6:NC_018233.1/FR799593.1; chromosome 7:NC_018234.1/FR799594.1; chromosome 8:NC_018235.1/FR799595.2; chromosome 9:NC_018236.1/FR799596.2; chromosome 10:NC_018237.1/FR799597.2; chromosome 11:NC_018238.1/FR799598.2; chromosome 12:NC_018239.1/FR799599.2; chromosome 13:NC_018240.1/FR799600.2; chromosome 14:NC_018241.1/FR799601.2; chromosome 15:NC_018242.1/FR799602.2; chromosome 16:NC_018243.1/FR799603.2; chromosome 17:NC_018244.1/FR799604.2; chromosome 18:NC_018245.1/FR799605.2; chromosome 19:NC_018246.1/FR799606.2; chromosome 20:NC_018247.1/FR799607.2; chromosome 21:NC_018248.1/FR799608.1; chromosome 22:NC_018249.1/FR799609.2; chromosome 23:NC_018250.1/FR799610.2; chromosome 24:NC_018251.1/FR799611.1; chromosome 25:NC_018252.1/FR799612.2; chromosome 26:NC_018253.1/FR799613.2; chromosome 27:NC_018254.1/FR799614.1; chromosome 28:NC_018255.1/FR799615.2; chromosome 29:NC_018256.1/FR799616.2; chromosome 30:NC_018257.1/FR799617.2; chromosome 31:NC_018258.1/FR799618.2; chromosome 32:NC_018259.1/FR799619.2; chromosome 33:NC_018260.1/FR799620.2; chromosome 34:NC_018261.1/FR799621.2; chromosome 35:NC_018262.1/FR799622.2; chromosome 36:NC_018263.1/FR799623.2,-,36,8195,8032,2011/02/07,2015/02/27,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/135/GCF_000227135.1_ASM22713v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/135/GCA_000227135.2_ASM22713v2
"Zymoseptoria passerinii SP63","SP63",SAMN02981330 ,PRJNA63049,"Fungi","Ascomycetes",28.7863,53.6,GCA_000223825.2 ,-,AFIY01,1517,-,-,2011/08/08,2014/08/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/825/GCA_000223825.2_ASM22382v2
"Eucidaris tribuloides","",SAMN00717266 ,PRJNA63057,"Animals","Other Animals",2187.26,37.2,GCA_001188425.1 ,-,JZLH01,637071,-,-,2015/04/14,2015/04/20,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/425/GCA_001188425.1_Etri_1.0
"Schrenkiella parvula","",SAMN00139339 ,PRJNA63667,"Plants","Land Plants",137.073,35.7366,GCA_000218505.1 ,chromosome 1:CM001187.1; chromosome 2:CM001188.1; chromosome 3:CM001189.1; chromosome 4:CM001190.1; chromosome 5:CM001191.1; chromosome 6:CM001192.1; chromosome 7:CM001193.1,AFAN01,1463,-,-,2011/03/25,2013/11/01,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/505/GCA_000218505.1_Eutrema_parvulum_v01
"Acromyrmex echinatior","",SAMN02953789 ,PRJNA62733,"Animals","Insects",295.945,34,GCA_000204515.1 ,-,AEVX01,4339,12325,20241,2011/04/14,2014/08/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/515/GCF_000204515.1_Aech_3.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/515/GCA_000204515.1_Aech_3.9
"Odocoileus virginianus","",SAMN02953782 ,PRJNA52611,"Animals","Mammals",37.6562,45.2,GCA_000191625.1 ,-,AEGZ01,93873,-,-,2011/03/07,2014/08/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/625/GCA_000191625.1_RRL-RSL_1.0
"Gloeophyllum trabeum ATCC 11539","ATCC 11539",SAMN02743873 ,PRJNA64553,"Fungi","Basidiomycetes",37.1782,52.9,GCA_000344685.1 ,-,AFVP01,442,11885,11755,2013/03/06,2014/05/06,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/344/685/GCF_000344685.1_Glotr1_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/685/GCA_000344685.1_Glotr1_1
"Hanseniaspora valbyensis NRRL Y-1626","NRRL Y-1626",SAMN00253866 ,PRJNA64991,"Fungi","Ascomycetes",11.464,22.6,GCA_001664025.1 ,-,LXPE01,647,4869,4772,2016/06/17,2016/09/07,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/025/GCA_001664025.1_Hanva1_1
