#Organism/Name,BioProject,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Level
"Allpahuayo mammarenavirus",PRJNA28323,"ssRNA viruses","Arenaviridae",10.396,40.5972,"vertebrates, human", L:NC_010249.1/AY216502.2;  S:NC_010253.1/AY012687.1,4,4,2001/01/02,2008/01/11,Complete Genome
"Bear Canyon mammarenavirus",PRJNA28325,"ssRNA viruses","Arenaviridae",10.441,39.003,"vertebrates, human", L:NC_010255.1/AY924390.1;  S:NC_010256.1/AY924391.1,4,4,2006/12/01,2008/12/08,Complete Genome
"Cupixi mammarenavirus",PRJNA28327,"ssRNA viruses","Arenaviridae",10.438,42.4088,"vertebrates, human", L:NC_010252.1/AY216519.2;  S:NC_010254.1/AF512832.1,4,4,2002/10/02,2008/01/11,Complete Genome
"Orgyia leucostigma NPV",PRJNA28501,"dsDNA viruses, no RNA stage","Baculoviridae",156.179,39.9,"invertebrates", Unknown:NC_010276.1/EU309041.1,135,135,2008/01/16,2008/04/22,Complete Genome
"Merkel cell polyomavirus",PRJNA28509,"dsDNA viruses, no RNA stage","Polyomaviridae",5.387,40.7,"vertebrates, human", Unknown:NC_010277.2/HM011556.1,4,4,2008/01/21,2014/12/16,Complete Genome
"Phaius virus X",PRJNA28617,"ssRNA viruses","Alphaflexiviridae",5.816,50.9,"plants", Unknown:NC_010295.1/AB353071.1,5,5,2008/01/26,2009/01/27,Complete Genome
"Cardiospermum yellow leaf curl betasatellite",PRJNA28647,"Satellites","unclassified",1.338,36.3,"plants", Unknown:NC_010297.1/AM933578.1,1,1,2008/01/27,2011/02/05,Complete Genome
"Ligustrum necrotic ringspot virus",PRJNA28681,"ssRNA viruses","Betaflexiviridae",8.412,46.5,"plants", Unknown:NC_010305.1/EU074853.1,6,6,2008/02/01,2015/02/10,Complete Genome
"Emilia yellow vein virus-[Fz1]",PRJNA28689,"ssDNA viruses","Geminiviridae",2.725,39.7,"plants", Unknown:NC_010307.1/EU377539.1,6,6,2008/02/03,2010/01/28,Complete Genome
"Abaca bunchy top virus",PRJNA28697,"ssDNA viruses","Nanoviridae",6.422,41.0385,"plants", 1:NC_010319.1/EF546813.1;  2:NC_010315.1/EF546809.1;  3:NC_010316.1/EF546810.1;  4:NC_010317.1/EF546811.1;  5:NC_010318.1/EF546812.1;  6:NC_010314.1/EF546808.1,5,5,2008/02/04,2015/10/20,Complete Genome
"Tomato leaf curl Ghana virus",PRJNA28699,"ssDNA viruses","Geminiviridae",2.803,42.6,"plants", Unknown:NC_010313.1/EU350585.1,6,6,2008/01/14,2010/08/26,Complete Genome
"Malachra yellow vein mosaic virus-associated satellite DNA beta",PRJNA28727,"Satellites","unclassified",1.339,41.3,"plants", Unknown:NC_010328.1/EU285590.1,1,1,2007/12/18,2010/12/28,Complete Genome
"Escherichia virus phiEco32",PRJNA28729,"dsDNA viruses, no RNA stage","Podoviridae",77.554,42.3,"bacteria", Unknown:NC_010324.1/EU330206.1,128,128,2008/01/05,2016/03/29,Complete Genome
"Human papillomavirus type 88",PRJNA28737,"dsDNA viruses, no RNA stage","Papillomaviridae",7.326,40.1,"vertebrates", Unknown:NC_010329.1/EF467176.1,7,7,2007/11/15,2010/03/26,Complete Genome
"Pseudomonas phage LUZ24",PRJNA28739,"dsDNA viruses, no RNA stage","Podoviridae",45.625,52.2,"bacteria", Unknown:NC_010325.1/AM910650.1,68,68,2007/11/27,2010/11/19,Complete Genome
"Pseudomonas phage LUZ19",PRJNA28741,"dsDNA viruses, no RNA stage","Podoviridae",43.548,62.3,"bacteria", Unknown:NC_010326.1/AM910651.1,54,54,2007/11/27,2010/11/19,Complete Genome
"Raphanus sativus cryptic virus 2",PRJNA28757,"dsRNA viruses","Partitiviridae",4.723,45.1753,"plants", 1:NC_010343.1/DQ218036.1;  2:NC_010344.1/DQ218037.1;  3:NC_010345.1/DQ218038.1,3,3,2005/10/24,2008/02/15,Complete Genome
"Botryotinia fuckeliana partitivirus 1",PRJNA28759,"dsRNA viruses","Partitiviridae",4.742,47.5583,"plants", RNA 1:NC_010349.1/AM491609.1;  RNA 2:NC_010350.1/AM491610.1;  RNA 3:NC_010351.1/AM491611.1,3,3,2007/03/21,2015/10/20,Complete Genome
"Rose cryptic virus 1",PRJNA28761,"dsRNA viruses","Partitiviridae",4.68,44.7818,"plants", RNA 1:NC_010346.1/EU413666.1;  RNA 2:NC_010347.1/EU413667.1;  RNA 3:NC_010348.1/EU413668.1,3,3,2008/02/11,2008/12/09,Complete Genome
"Halomonas phage phiHAP-1",PRJNA28763,"dsDNA viruses, no RNA stage","Myoviridae",39.245,59,"bacteria", Unknown:NC_010342.1/EU399241.1,46,46,2008/02/09,2009/04/17,Complete Genome
"Eragrostis streak virus",PRJNA28825,"ssDNA viruses","Geminiviridae",2.746,51.3,"plants", Unknown:NC_010352.1/EU244915.1,3,3,2008/02/15,2010/12/08,Complete Genome
"Streptococcus phage 858",PRJNA28829,"dsDNA viruses, no RNA stage","Siphoviridae",35.543,39.8,"bacteria", Unknown:NC_010353.1/EF529515.1,46,46,2008/02/19,2008/02/22,Complete Genome
"Bovine rhinitis B virus",PRJNA28835,"ssRNA viruses","Picornaviridae",7.556,45.6,"vertebrates", Unknown:NC_010354.1/EU236594.1,1,1,2008/02/20,2009/12/24,Complete Genome
"Glossina pallidipes salivary gland hypertrophy virus",PRJNA28839,"unassigned viruses","Hytrosaviridae",190.032,28,"invertebrates", Unknown:NC_010356.1/EF568108.1,160,160,2008/02/21,2012/11/26,Complete Genome
"Azospirillum phage Cd",PRJNA28841,"dsDNA viruses, no RNA stage","Siphoviridae",62.337,63.9,"bacteria", Unknown:NC_010355.1/CU468217.1,95,95,2008/02/19,2009/01/09,Complete Genome
"Lolium latent virus",PRJNA28971,"ssRNA viruses","Alphaflexiviridae",7.674,52.1,"plants", Unknown:NC_010434.1/EU489641.1,6,6,2008/03/09,2008/07/02,Complete Genome
"Beet curly top Iran virus",PRJNA28973,"ssDNA viruses","Geminiviridae",2.845,40.7,"plants", Unknown:NC_010417.1/EU273818.1,5,5,2008/03/03,2015/02/10,Complete Genome
"Asparagus virus 3",PRJNA15099,"ssRNA viruses","Alphaflexiviridae",6.985,52.7,"plants", Unknown:NC_003400.1/AJ316085.1,5,5,2002/02/06,2014/10/06,Complete Genome
"Pepper leaf curl Yunnan virus-[YN323]",PRJNA29413,"ssDNA viruses","Geminiviridae",2.747,41.7,"plants", Unknown:NC_010618.1/EU585781.1,6,6,2008/04/19,2015/02/10,Complete Genome
"Pepper leaf curl Yunnan virus satellite DNA beta",PRJNA29415,"Satellites","unclassified",1.196,39,"plants", Unknown:NC_010619.1/EU585782.1,1,1,2008/04/19,2010/12/28,Complete Genome
"Beluga Whale coronavirus SW1",PRJNA29509,"ssRNA viruses","Coronaviridae",31.686,39.2,"vertebrates", Unknown:NC_010646.1/EU111742.1,14,14,2008/04/08,2009/12/24,Complete Genome
"Cypovirus 5",PRJNA29601,"dsRNA viruses","Reoviridae",24.818,36.4209,"invertebrates", 1:NC_010670.1/EF634325.1;  10:NC_010661.1/DQ077912.1;  2:NC_010669.1/EF634324.1;  3:NC_010668.1/EF634323.1;  4:NC_010667.1/EF634322.1;  5:NC_010666.1/EF634321.1;  6:NC_010665.1/EF634320.1;  7:NC_010662.1/DQ077913.1;  8:NC_010664.1/DQ178180.1;  9:NC_010663.1/DQ178179.1,10,10,2005/07/05,2008/05/09,Complete Genome
"Musca domestica salivary gland hypertrophy virus",PRJNA29631,"unassigned viruses","Hytrosaviridae",124.279,43.5,"invertebrates", Unknown:NC_010671.1/EU522111.1,108,108,2008/05/05,2010/12/08,Complete Genome
"Tamiami mammarenavirus",PRJNA29831,"ssRNA viruses","Arenaviridae",10.674,41.524,"vertebrates, human", L:NC_010702.1/AY924393.1;  S:NC_010701.1/AF485263.1,4,4,2002/09/16,2008/12/09,Complete Genome
"Whitewater Arroyo mammarenavirus",PRJNA29833,"ssRNA viruses","Arenaviridae",10.448,39.6917,"vertebrates, human", L:NC_010703.1/AY924395.1;  S:NC_010700.1/AF228063.1,4,4,2001/06/10,2008/12/09,Complete Genome
"Chronic bee paralysis virus",PRJNA29839,"ssRNA viruses","unclassified",5.979,50.8084,"invertebrates", RNA 1:NC_010711.1/EU122229.1;  RNA 2:NC_010712.1/EU122230.1,7,7,2007/12/19,2009/05/07,Complete Genome
"Thottapalayam hantavirus",PRJNA29841,"ssRNA viruses","Bunyaviridae",11.732,37.5454,"vertebrates, human", segment L:NC_010707.1/DQ825770.1;  segment M:NC_010708.1/DQ825771.1;  segment S:NC_010704.1/AY526097.1,3,3,2004/02/17,2008/05/20,Complete Genome
"Radish mosaic virus",PRJNA29843,"ssRNA viruses","Secoviridae",10.084,43.2209,"plants", RNA 1:NC_010709.1/AB295643.1;  RNA 2:NC_010710.1/AB295644.1,2,2,2007/08/18,2015/10/20,Complete Genome
"Ceratocystis polonica partitivirus",PRJNA29847,"dsRNA viruses","Partitiviridae",4.567,42.649,"plants", RNA 1:NC_010705.1/AY247204.1;  RNA 2:NC_010706.1/AY247205.1,2,2,2003/12/31,2008/12/09,Complete Genome
"Clerodendron golden mosaic virus",PRJNA29849,"ssDNA viruses","Geminiviridae",5.524,42.4495,"plants", DNA A:NC_010713.1/DQ641692.1;  DNA B:NC_010714.1/DQ641693.1,8,8,2007/05/01,2010/09/24,Complete Genome
"Tobacco vein distorting virus",PRJNA29875,"ssRNA viruses","Luteoviridae",5.92,49.1,"plants", Unknown:NC_010732.1/EF529624.1,7,7,2008/04/01,2016/07/26,Complete Genome
"Lamium leaf distortion virus",PRJNA29877,"Retro-transcribing viruses","Caulimoviridae",7.713,35.2,"plants", Unknown:NC_010737.1/EU554423.1,6,6,2008/04/08,2008/05/27,Complete Genome
"Eupatorium vein clearing virus",PRJNA29879,"Retro-transcribing viruses","Caulimoviridae",8.463,37.3,"plants", Unknown:NC_010738.1/EU569831.1,6,6,2008/04/08,2008/05/23,Complete Genome
"Verbena virus Y",PRJNA29881,"ssRNA viruses","Potyviridae",9.742,41.3,"plants", Unknown:NC_010735.1/EU564817.1,2,2,2008/04/08,2015/02/10,Complete Genome
"Algerian watermelon mosaic virus",PRJNA29883,"ssRNA viruses","Potyviridae",9.842,42.4,"plants", Unknown:NC_010736.1/EU410442.1,2,2,2008/05/20,2015/02/10,Complete Genome
"Ceratocystis resinifera virus 1",PRJNA29901,"dsRNA viruses","Partitiviridae",4.512,42.6924,"plants", RNA 1:NC_010755.1/AY603052.1;  RNA 2:NC_010754.1/AY603051.1,2,2,2005/03/01,2008/05/23,Complete Genome
"Flexal mammarenavirus",PRJNA29903,"ssRNA viruses","Arenaviridae",10.448,41.8562,"vertebrates, human", L:NC_010759.1/EU627611.1;  S:NC_010757.1/AF512831.1,4,4,2002/10/02,2008/08/14,Complete Genome
"Latino mammarenavirus",PRJNA29905,"ssRNA viruses","Arenaviridae",10.648,39.7313,"vertebrates, human", L:NC_010760.1/EU627612.1;  S:NC_010758.1/AF512830.1,4,4,2002/10/02,2008/08/14,Complete Genome
"Parana mammarenavirus",PRJNA29907,"ssRNA viruses","Arenaviridae",10.494,39.5228,"vertebrates, human", L:NC_010761.1/EU627613.1;  S:NC_010756.1/AF485261.1,4,4,2002/09/16,2008/08/14,Complete Genome
"Mycoreovirus 1",PRJNA29913,"dsRNA viruses","Reoviridae",23.433,41.8857,"fungi", 1:NC_010743.1/AY277888.1;  10:NC_010752.1/AB179642.1;  11:NC_010753.1/AB179643.1;  2:NC_010744.1/AY277889.1;  3:NC_010745.1/AY277890.1;  4:NC_010746.1/AB179636.1;  5:NC_010747.1/AB179637.1;  6:NC_010748.1/AB179638.1;  7:NC_010749.1/AB179639.1;  8:NC_010750.1/AB179640.1;  9:NC_010751.1/AB179641.1,11,11,2003/06/30,2008/05/29,Complete Genome
"Ursus maritimus papillomavirus 1",PRJNA29915,"dsDNA viruses, no RNA stage","Papillomaviridae",7.582,48.4,"vertebrates", Unknown:NC_010739.1/EF536349.1,5,5,2008/04/25,2011/03/15,Complete Genome
"Ramie mosaic virus",PRJNA29985,"ssDNA viruses","Geminiviridae",5.446,43.7055,"plants", DNA A:NC_010791.1/EU596959.1;  DNA B:NC_010792.1/EU596960.1,8,8,2008/04/28,2015/10/20,Complete Genome
"Urochloa streak virus",PRJNA30033,"ssDNA viruses","Geminiviridae",2.736,52.6,"plants", Unknown:NC_010797.1/EU445699.1,3,3,2008/06/01,2010/01/28,Complete Genome
"Oat dwarf virus",PRJNA30037,"ssDNA viruses","Geminiviridae",2.74,47.7,"plants", Unknown:NC_010799.1/AM296025.1,5,4,2007/06/19,2011/02/04,Complete Genome
"Melon aphid-borne yellows virus",PRJNA30049,"ssRNA viruses","Luteoviridae",5.674,50.5,"plants", Unknown:NC_010809.1/EU000534.1,7,7,2008/06/01,2016/01/25,Complete Genome
"Rose spring dwarf-associated virus",PRJNA30051,"ssRNA viruses","Luteoviridae",5.808,48.5,"plants", Unknown:NC_010806.1/EU024678.1,7,9,2008/06/02,2015/11/12,Complete Genome
"Ageratum yellow vein Hualian virus",PRJNA30057,"ssDNA viruses","Geminiviridae",2.756,41.7,"plants", Unknown:NC_010812.1/DQ866124.1,6,6,2006/09/18,2010/01/28,Complete Genome
"Ralstonia phage RSL1",PRJNA30059,"dsDNA viruses, no RNA stage","Myoviridae",231.255,58,"bacteria", Unknown:NC_010811.2/AB366653.2,345,343,2008/05/31,2012/03/29,Complete Genome
"Staphylococcus phage phiMR25",PRJNA30061,"dsDNA viruses, no RNA stage","Siphoviridae",44.342,34.3,"bacteria", Unknown:NC_010808.1/AB370205.1,70,70,2008/06/04,2010/04/07,Complete Genome
"Salmonella phage phiSG-JL2",PRJNA30063,"dsDNA viruses, no RNA stage","Podoviridae",38.815,50.9,"bacteria", Unknown:NC_010807.1/EU547803.1,55,55,2008/06/03,2009/04/17,Complete Genome
"Bandicoot papillomatosis carcinomatosis virus type 2",PRJNA30081,"dsDNA viruses, no RNA stage","Papillomaviridae",7.277,37.5,"vertebrates", Unknown:NC_010817.1/EU277647.1,3,3,2008/06/02,2010/03/26,Complete Genome
"Mesta yellow vein mosaic Bahraich virus",PRJNA30083,"ssDNA viruses","Geminiviridae",2.737,43.6,"plants", Unknown:NC_010818.1/EU360303.1,7,7,2008/03/04,2015/02/10,Complete Genome
"African green monkey simian foamy virus",PRJNA30095,"Retro-transcribing viruses","Retroviridae",13.111,37.8,"vertebrates", Unknown:NC_010820.1/M74895.1,4,5,1993/08/03,2015/02/10,Complete Genome
"Pseudomonas phage 201phi2-1",PRJNA30097,"dsDNA viruses, no RNA stage","Myoviridae",316.674,45.3,"bacteria", Unknown:NC_010821.1/EU197055.1,462,461,2008/06/04,2013/04/03,Complete Genome
"Macaque simian foamy virus",PRJNA30115,"Retro-transcribing viruses","Retroviridae",12.972,39.2,"vertebrates", Unknown:NC_010819.1/X54482.1,4,5,1991/08/08,2015/02/10,Complete Genome
"Brugmansia mild mottle virus",PRJNA30157,"ssRNA viruses","Virgaviridae",6.381,43.3,"plants", Unknown:NC_010944.1/AM398436.1,4,4,2006/09/13,2015/02/10,Complete Genome
"Pumpkin yellow mosaic Malaysia virus",PRJNA30159,"ssDNA viruses","Geminiviridae",2.724,43.2,"plants", Unknown:NC_010946.1/EF197941.1,6,6,2007/03/03,2011/07/21,Complete Genome
"Streptococcus phage PH15",PRJNA30161,"dsDNA viruses, no RNA stage","Siphoviridae",39.136,40.5,"bacteria", Unknown:NC_010945.1/FM163528.1,60,60,2008/06/09,2008/10/15,Complete Genome
"Wissadula golden mosaic virus",PRJNA30167,"ssDNA viruses","Geminiviridae",2.578,46,"plants", DNA B:NC_010951.1/EU158095.1,2,2,2007/10/24,2015/02/10,Complete Genome
"Macroptilium golden mosaic virus",PRJNA30169,"ssDNA viruses","Geminiviridae",5.158,46.8131,"plants", DNA A:NC_010952.1/EU158096.1;  DNA B:NC_010953.1/EU158097.1,6,6,2007/10/24,2015/02/10,Complete Genome
"Tomato yellow vein streak virus",PRJNA30171,"ssDNA viruses","Geminiviridae",5.13,39.4457,"plants", DNA A:NC_010949.1/EF417915.1;  DNA B:NC_010950.1/EF417916.1,7,7,2007/03/03,2015/10/20,Complete Genome
"Xenopus laevis endogenous retrovirus Xen1",PRJNA30173,"Retro-transcribing viruses","Retroviridae",10.207,47,"vertebrates", Unknown:NC_010955.1/AJ506107.1,5,2,2002/12/23,2011/02/04,Complete Genome
"Fritillary virus Y",PRJNA30175,"ssRNA viruses","Potyviridae",9.656,42.8,"plants", Unknown:NC_010954.1/AM039800.1,2,2,2006/03/08,2015/02/10,Complete Genome
"Lettuce virus X",PRJNA30177,"ssRNA viruses","Alphaflexiviridae",7.212,54.6,"plants", Unknown:NC_010832.1/AM745758.1,5,5,2008/06/05,2011/02/04,Complete Genome
"Allamanda leaf curl virus",PRJNA30179,"ssDNA viruses","Geminiviridae",2.755,44.5,"plants", Unknown:NC_010947.1/EF602306.1,6,6,2007/07/25,2010/01/28,Complete Genome
"Tomato leaf curl Palampur virus",PRJNA30181,"ssDNA viruses","Geminiviridae",2.756,43.9,"plants", DNA A:NC_010840.1/AM884015.2,7,7,2008/06/04,2015/02/10,Complete Genome
"Blainvillea yellow spot virus",PRJNA30183,"ssDNA viruses","Geminiviridae",2.666,44.3,"plants", DNA A:NC_010837.1/EU710756.1,5,5,2008/06/09,2015/10/20,Complete Genome
"Tomato common mosaic virus",PRJNA30185,"ssDNA viruses","Geminiviridae",5.058,41.7972,"plants", DNA A:NC_010835.1/EU710754.1;  DNA B:NC_010836.1/EU710755.1,7,7,2008/06/09,2015/10/20,Complete Genome
"Tomato mild mosaic virus",PRJNA30187,"ssDNA viruses","Geminiviridae",5.371,46.9092,"plants", DNA A:NC_010833.1/EU710752.1;  DNA B:NC_010834.1/EU710753.1,7,7,2008/06/09,2015/10/20,Complete Genome
"Curvularia thermal tolerance virus",PRJNA30363,"dsRNA viruses","unclassified",1.886,58.3,"fungi", RNA 2:NC_010986.1/EF120985.1,2,2,2007/02/06,2015/10/20,Complete Genome
"Alternaria alternata virus 1",PRJNA30367,"dsRNA viruses","unclassified",10.357,56.8189,"fungi", L:NC_010984.1/AB368492.1;  M1:NC_010989.1/AB438027.1;  M2:NC_010990.1/AB438028.1;  S:NC_010991.1/AB438029.1,4,4,2007/12/04,2012/07/05,Complete Genome
"Mycobacterium phage DD5",PRJNA30513,"dsDNA viruses, no RNA stage","Siphoviridae",51.621,63.4,"bacteria", Unknown:NC_011022.1/EU744252.1,87,87,2008/06/23,2012/03/30,Complete Genome
"Mycobacterium phage Jasper",PRJNA30515,"dsDNA viruses, no RNA stage","Siphoviridae",50.968,63.7,"bacteria", Unknown:NC_011020.1/EU744251.1,94,94,2008/06/23,2012/07/20,Complete Genome
"Mycobacterium phage KBG",PRJNA30517,"dsDNA viruses, no RNA stage","Siphoviridae",53.572,63.6,"bacteria", Unknown:NC_011019.1/EU744248.1,89,89,2008/06/23,2012/07/20,Complete Genome
"Mycobacterium phage Lockley",PRJNA30519,"dsDNA viruses, no RNA stage","Siphoviridae",51.478,63.4,"bacteria", Unknown:NC_011021.1/EU744249.1,90,90,2008/06/23,2009/04/17,Complete Genome
"Mycobacterium phage Pukovnik",PRJNA30521,"dsDNA viruses, no RNA stage","Siphoviridae",52.892,63.3,"bacteria", Unknown:NC_011023.1/EU744250.1,89,88,2008/06/23,2008/06/27,Complete Genome
"TYLCAxV-Sic1-[IT:Sic2/2:04]",PRJNA30523,"ssDNA viruses","Geminiviridae",2.771,40.2,"plants", Unknown:NC_011024.1/EU734831.1,6,6,2008/06/23,2010/11/10,Complete Genome
"Mycobacterium phage Nigel",PRJNA30609,"dsDNA viruses, no RNA stage","Siphoviridae",69.904,68.3,"bacteria", Unknown:NC_011044.1/EU770221.1,95,94,2008/06/29,2008/07/16,Complete Genome
"Mycobacterium phage Predator",PRJNA30611,"dsDNA viruses, no RNA stage","Siphoviridae",70.11,56.3,"bacteria", Unknown:NC_011039.1/EU770222.1,92,92,2008/06/29,2008/07/13,Complete Genome
"Escherichia phage V5",PRJNA30613,"dsDNA viruses, no RNA stage","Myoviridae",137.947,43.6,"bacteria", Unknown:NC_011041.1/DQ832317.1,239,233,2008/06/30,2013/03/29,Complete Genome
"Bacillus virus phi29",PRJNA30615,"dsDNA viruses, no RNA stage","Podoviridae",19.282,40,"bacteria", Unknown:NC_011048.1/EU771092.1,27,27,2008/06/25,2010/03/26,Complete Genome
"Steller sea lion vesivirus",PRJNA30663,"ssRNA viruses","Caliciviridae",8.305,48.6,"vertebrates", Unknown:NC_011050.1/EF195384.1,3,3,2008/06/22,2009/04/08,Complete Genome
"Capreolus capreolus papillomavirus 1",PRJNA30665,"dsDNA viruses, no RNA stage","Papillomaviridae",8.032,47.3,"vertebrates", Unknown:NC_011051.1/EF680235.1,8,8,2008/07/01,2011/01/03,Complete Genome
"Sweet potato leaf curl Spain virus",PRJNA30673,"ssDNA viruses","Geminiviridae",2.78,43.8,"plants", Unknown:NC_011052.2/EF456741.2,6,6,2008/07/01,2010/12/08,Complete Genome
"Mycobacterium phage Boomer",PRJNA30693,"dsDNA viruses, no RNA stage","Siphoviridae",58.037,61.1,"bacteria", Unknown:NC_011054.1/EU816590.1,105,105,2008/07/16,2008/07/17,Complete Genome
"Mycobacterium phage Kostya",PRJNA30695,"dsDNA viruses, no RNA stage","Siphoviridae",75.811,62.9,"bacteria", Unknown:NC_011056.1/EU816591.1,145,143,2008/07/16,2009/04/17,Complete Genome
"Mycobacterium phage Phaedrus",PRJNA30697,"dsDNA viruses, no RNA stage","Siphoviridae",68.09,67.6,"bacteria", Unknown:NC_011057.1/EU816589.1,98,98,2008/07/16,2008/07/23,Complete Genome
"Mycobacterium phage Porky",PRJNA30699,"dsDNA viruses, no RNA stage","Siphoviridae",76.312,62.8,"bacteria", Unknown:NC_011055.1/EU816588.1,149,147,2008/07/16,2009/04/17,Complete Genome
"Chickpea chlorotic dwarf virus",PRJNA30715,"ssDNA viruses","Geminiviridae",2.584,45.2,"plants", Unknown:NC_011058.1/AM850136.1,4,4,2008/07/17,2014/03/11,Complete Genome
"Potato virus T",PRJNA30735,"ssRNA viruses","Betaflexiviridae",6.539,41.6,"plants", Unknown:NC_011062.1/EU835937.1,3,3,2008/07/21,2011/07/20,Complete Genome
"Morganella phage MmP1",PRJNA30793,"dsDNA viruses, no RNA stage","Podoviridae",38.457,46.5,"bacteria", Unknown:NC_011085.3/EU652770.3,49,49,2008/07/23,2015/10/19,Complete Genome
"Diascia yellow mottle virus",PRJNA30795,"ssRNA viruses","Tymoviridae",6.29,57.2,"invertebrates, plants", Unknown:NC_011086.1/EU684141.1,3,3,2008/07/22,2011/07/21,Complete Genome
"Cycad leaf necrosis virus",PRJNA30835,"Retro-transcribing viruses","Caulimoviridae",9.205,45.1,"plants", Unknown:NC_011097.1/EU853709.1,3,3,2008/07/29,2011/07/21,Complete Genome
"Tomato leaf curl Kumasi virus",PRJNA30837,"ssDNA viruses","Geminiviridae",2.794,42.8,"plants", Unknown:NC_011096.1/EU847739.1,6,6,2008/07/29,2016/03/28,Complete Genome
"Rhizobium phage 16-3",PRJNA30845,"dsDNA viruses, no RNA stage","Siphoviridae",60.195,59,"bacteria", Unknown:NC_011103.1/DQ500118.1,109,110,2008/07/31,2011/05/11,Complete Genome
"Cocksfoot mild mosaic virus",PRJNA30849,"ssRNA viruses","Tombusviridae",4.198,53.3,"plants", Unknown:NC_011108.1/EU081018.1,6,6,2008/08/01,2012/11/26,Complete Genome
"Pseudomonas phage PT2",PRJNA30851,"dsDNA viruses, no RNA stage","Podoviridae",42.961,62.2,"bacteria", Unknown:NC_011107.1/EU236438.1,54,54,2008/07/31,2009/04/17,Complete Genome
"Grapevine virus E",PRJNA30853,"ssRNA viruses","Betaflexiviridae",7.564,44.9,"plants", Unknown:NC_011106.1/AB432910.1,5,5,2008/08/02,2011/07/21,Complete Genome
"Lactobacillus phage Lrm1",PRJNA30879,"dsDNA viruses, no RNA stage","Siphoviridae",39.989,45.5,"bacteria", Unknown:NC_011104.1/EU246945.1,54,54,2008/08/01,2008/08/06,Complete Genome
"Tomato leaf curl Kerala virus",PRJNA30935,"ssDNA viruses","Geminiviridae",2.767,42.4,"plants", Unknown:NC_011135.1/EU910141.1,6,6,2008/08/10,2010/01/28,Complete Genome
"Pseudomonas phage LBL3",PRJNA31053,"dsDNA viruses, no RNA stage","Myoviridae",64.427,55.5,"bacteria", Unknown:NC_011165.1/FM201281.1,88,88,2008/08/22,2011/02/04,Complete Genome
"Pseudomonas phage LMA2",PRJNA31055,"dsDNA viruses, no RNA stage","Myoviridae",66.53,55.6,"bacteria", Unknown:NC_011166.1/FM201282.1,94,94,2008/08/22,2011/02/04,Complete Genome
"Bacillus virus IEBH",PRJNA31057,"dsDNA viruses, no RNA stage","Siphoviridae",53.104,36.4,"bacteria", Unknown:NC_011167.1/EU874396.1,86,86,2008/08/24,2008/08/28,Complete Genome
"Feldmannia species virus",PRJNA31093,"dsDNA viruses, no RNA stage","Phycodnaviridae",154.641,51.8,"algae", Unknown:NC_011183.1/EU916176.1,150,150,2008/08/26,2009/11/21,Complete Genome
"Okra mottle virus",PRJNA31095,"ssDNA viruses","Geminiviridae",5.313,45.451,"plants", DNA A:NC_011181.1/EU914817.1;  DNA B:NC_011182.1/EU914818.1,6,6,2008/08/26,2013/01/28,Complete Genome
"Mikania micrantha mosaic virus",PRJNA31113,"ssRNA viruses","Secoviridae",9.28,40.058,"plants", RNA 1:NC_011190.1/EU158250.1;  RNA 2:NC_011189.1/EU158249.1,2,2,2008/08/29,2015/10/20,Complete Genome
"Sowbane mosaic virus",PRJNA31125,"ssRNA viruses","unclassified",3.983,49.3,"plants", Unknown:NC_011187.1/AM940437.1,4,5,2008/09/01,2015/02/10,Complete Genome
"Ralstonia phage RSB1",PRJNA31163,"dsDNA viruses, no RNA stage","Podoviridae",43.079,61.7,"bacteria", Unknown:NC_011201.1/AB451219.1,47,47,2008/09/04,2010/03/26,Complete Genome
"Sulfolobus spindle-shaped virus 5",PRJNA31219,"dsDNA viruses, no RNA stage","Fuselloviridae",15.33,38.5,"archaea", Unknown:NC_011217.1/EU030939.1,34,34,2008/09/05,2016/07/26,Complete Genome
"Burkholderia phage KS10",PRJNA31221,"dsDNA viruses, no RNA stage","Myoviridae",37.635,62.9,"bacteria", Unknown:NC_011216.1/EU822883.1,49,49,2008/09/08,2012/11/27,Complete Genome
"Bacteroides phage B40-8",PRJNA31249,"dsDNA viruses, no RNA stage","Siphoviridae",44.929,38.6,"bacteria", Unknown:NC_011222.1/FJ008913.1,46,46,2008/09/10,2008/09/12,Complete Genome
"Jatropha leaf curl virus",PRJNA31277,"ssDNA viruses","Geminiviridae",2.743,45.8,"plants", Unknown:NC_011268.1/EU798996.1,6,6,2008/08/18,2012/11/27,Complete Genome
"Mycobacterium phage Myrna",PRJNA31279,"dsDNA viruses, no RNA stage","Myoviridae",164.602,65.4,"bacteria", Unknown:NC_011273.1/EU826466.1,270,229,2008/09/01,2011/09/02,Complete Genome
"Mycobacterium phage Rizal",PRJNA31281,"dsDNA viruses, no RNA stage","Myoviridae",153.894,64.7,"bacteria", Unknown:NC_011272.1/EU826467.1,255,220,2008/09/01,2008/09/17,Complete Genome
"Mycobacterium phage ScottMcG",PRJNA31283,"dsDNA viruses, no RNA stage","Myoviridae",154.017,64.8,"bacteria", Unknown:NC_011269.1/EU826469.1,257,221,2008/09/01,2008/09/17,Complete Genome
"Mycobacterium phage Spud",PRJNA31285,"dsDNA viruses, no RNA stage","Myoviridae",154.906,64.8,"bacteria", Unknown:NC_011270.1/EU826468.1,257,222,2008/09/01,2008/09/17,Complete Genome
